stop_id,stop_name,stop_desc,stop_lat,stop_lon
5306695,aacd - servidor,,-23.597819,-46.652545
1814713,aeroporto guarulhos,,-23.433667,-46.493732
18979,braz cubas,,-23.536255,-46.225325
18875,bresser - mooca,,-23.546398,-46.607246
18890,corinthians - itaquera,,-23.542411,-46.471964
18889,engenheiro goulart,,-23.498281,-46.520092
18900,engenheiro manoel feio,,-23.478636,-46.364469
1814712,guarulhos cecap,,-23.448080,-46.493539
18886,guilhermina esperanca,,-23.529319,-46.516673
18968,hebraica - reboucas,,-23.573822,-46.698634
4406630,higienopolis - mackenzie,,-23.549031,-46.652303
18868,liberdade,,-23.555211,-46.635581
8615209,jardim helena - vila mara,,-23.492765,-46.420369
18880,jardim sao paulo - ayrton senna",,-23.492734,-46.617354
18941,juventus mooca,,-23.557799,-46.608419
18917,lapa,,-23.517538,-46.703952
3014945,bruno covas - mendes-vila natal,,-23.754624,-46.709389
18920,palmeiras - barra funda,,-23.525317,-46.666547
18887,patriarca,,-23.531079,-46.501715
18877,portuguesa - tiete,,-23.516240,-46.625149
2314514,primavera-interlagos,,-23.722893,-46.691773
18955,santa terezinha,,-23.516347,-46.848070
18936,prefeito celso daniel - santo andre,,-23.652472,-46.528568
2705944,santos - imigrantes,,-23.595941,-46.620710
4406608,sumare,,-23.550974,-46.677575
18928,sao caetano,,-23.610281,-46.570330
1211401,sao paulo - morumbi,,-23.586132,-46.723471
18859,trianon-masp,,-23.563570,-46.653893
18963,villa lobos - jaguare,,-23.546718,-46.732079
18848,clinicas,,-23.554022,-46.671108
18849,vila madalena,,-23.546498,-46.691141
18850,consolacao,,-23.558094,-46.660205
18851,conceicao,,-23.635039,-46.641239
18852,jabaquara,,-23.646033,-46.641028
18853,sao judas,,-23.625882,-46.640936
18854,saude,,-23.618245,-46.639139
18855,praca da arvore,,-23.610583,-46.637918
18856,santa cruz,,-23.598541,-46.636638
18857,vila mariana,,-23.589359,-46.634677
18858,brigadeiro,,-23.567615,-46.649027
18860,ana rosa,,-23.581203,-46.638489
18861,paraiso,,-23.5754,-46.6407
18862,vergueiro,,-23.568521,-46.639904
18863,sao joaquim,,-23.561435,-46.638534
18864,marechal deodoro,,-23.533163,-46.657264
18865,santa cecilia,,-23.538095,-46.649009
18866,republica,,-23.544215,-46.642461
18867,anhangabau,,-23.5478,-46.6392
18869,se,,-23.5505,-46.633305
18870,sao bento,,-23.5441,-46.6342
18871,pedro ii,,-23.549742,-46.626281
18872,luz,,-23.5366,-46.6343
18873,tiradentes,,-23.531324,-46.632672
18874,armenia,,-23.5254,-46.6292
18876,belem,,-23.542922,-46.589676
18878,carandiru,,-23.508727,-46.624897
18879,santana,,-23.502716,-46.624716
18881,parada inglesa,,-23.487111,-46.608877
18882,tucuruvi,,-23.480049,-46.603209
18883,carrao,,-23.53784,-46.564393
18884,penha,,-23.533594,-46.542944
18885,vila matilde,,-23.531901,-46.530904
18888,artur alvim,,-23.540068,-46.484833
18891,comendador ermelino,,-23.485166,-46.482828
18892,dom bosco,,-23.541714,-46.447993
18893,jose bonifacio,,-23.53912,-46.431683
18894,antonio gianetti neto,,-23.554322,-46.383668
18895,guaianases,,-23.542298,-46.415633
18897,itaim paulista,,-23.493989,-46.402304
18898,ferraz de vasconcelos,,-23.540688,-46.368207
18899,poa,,-23.525211,-46.34325
18901,calmon viana,,-23.525497,-46.332803
18902,suzano,,-23.533521,-46.309229
18906,santo amaro,,-23.655909,-46.719702
18907,jurubatuba,,-23.677465,-46.702213
18908,socorro,,-23.66343,-46.71097
18909,granja julieta,,-23.627599,-46.712111
18910,morumbi,,-23.621519,-46.701657
18911,berrini,,-23.604669,-46.696825
18912,vila olimpia,,-23.593185,-46.692871
18913,cidade jardim,,-23.585337,-46.691293
18914,amador bueno,,-23.5307,-46.983928
18916,piqueri,,-23.504206,-46.714999
18919,agua branca,,-23.521231,-46.689237
18921,perus,,-23.404054,-46.754465
18922,jaragua,,-23.455502,-46.738483
18923,vila clarice,,-23.470038,-46.744207
18924,caieiras,,-23.367176,-46.752822
18925,franco da rocha,,-23.332181,-46.727614
18926,baltazar fidelis,,-23.310582,-46.722853
18927,tamanduatei,,-23.592982,-46.589343
18929,utinga,,-23.626196,-46.543623
18930,prefeito saladino,,-23.638762,-46.53686
